rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
1,665953,Andrés Chaparro,WSH,DET,False,2,DH,R,official,final,Framber Valdez,L,0.83,,0.18,0.19042989100442598,0.20596846757801762,2.9213534934223646,0.97,stable,,,1,1,1,1,1,1,86,86 air · 65°F · in LF 14 · 52° dew · RHB,11,221,,,,,12.4,,,,
2,624413,Pete Alonso,BAL,TOR,True,2,1B,R,official,final,Max Scherzer,R,1.74,,0.18,0.24121671519193666,0.2659733145897201,2.488439464334518,0.97,stable,,,1,1,1,1,1,1,94,94 air · 63°F · in CF 7 · 52° dew · RHB,41,686,,,,,14.7,,,,
3,683002,Gunnar Henderson,BAL,TOR,True,3,SS,L,official,final,Max Scherzer,R,1.74,,0.18,0.20217551730745564,0.21932511720673287,2.4321399289423344,0.97,stable,,,1,1,1,1,1,1,106,106 air · 63°F · in CF 7 · 52° dew · LHB,24,694,,,,,7.8,,,,
4,691723,Coby Mayo,BAL,TOR,True,4,DH,R,official,final,Max Scherzer,R,1.74,,0.18,0.18312138239175368,0.19703306867351209,2.3758403935501504,0.97,stable,,,1,1,1,1,1,1,93,93 air · 63°F · in CF 7 · 52° dew · spray vs wall · RHB,24,441,,,,,13.5,,,,
5,624413,Pete Alonso,BAL,TOR,True,2,1B,R,official,live,CJ Van Eyk,R,1.35,,0.18,0.20839826054000343,0.22700439615663973,2.7541951352828646,0.61692,fair,,,1,1,1,1,1,1,89,89 air · 63°F · in CF 15 · 52° dew · RHB,41,686,,,,,14.7,,,,
6,804668,Rafael Flores Jr.,PIT,STL,True,2,C,R,official,live,Matthew Liberatore,L,1.63,,0.18,0.18362491030660477,0.1979707882300505,2.646819106616866,0.97,stable,,,1,1,1,1,1,1,78,78 air · 65°F · in CF 12 · 51° dew · spray vs wall · RHB,10,151,,,,,14.9,,,,
7,664040,Brandon Lowe,PIT,STL,True,4,2B,L,official,live,Matthew Liberatore,L,1.63,,0.18,0.19814176963879448,0.21451969737894253,2.5270535361817132,0.97,stable,,,1,1,1,1,1,1,82,82 air · 65°F · in CF 12 · 51° dew · LHB,33,639,,,,,12.2,,,,
8,694192,Jackson Chourio,MIL,PHI,False,2,LF,R,official,live,Aaron Nola,R,1.82,,0.18,0.1835111410094581,0.19787690875366765,2.777701779396232,0.97,stable,,,1,1,1,1,1,1,123,123 air · 66°F · cross LF 14 · 50° dew · RHB,24,557,,,,,12.2,,,,
9,641343,Jake Bauers,MIL,PHI,False,5,1B,L,official,live,Aaron Nola,R,1.82,,0.18,0.2388245010331118,0.2625471974297454,2.5766011980824772,0.97,stable,,,1,1,1,1,1,1,117,117 air · 66°F · cross LF 14 · 50° dew · LHB,26,556,,,,,14.2,,,,
10,683748,Victor Mesa Jr.,TB,NYY,False,1,LF,L,official,preview,Gerrit Cole,R,1.56,,0.18,0.22991721431862766,0.25297521202090634,2.8997762999402785,0.97,stable,,,1,1,1,1,1,1,111,111 air · 63°F · in LF 15 · 46° dew · LHB,14,244,,,,,11.6,,,,
